aReplica,Periodo,SumaW0,SumaW1,SumaW2,SumaW3,SumaW4,SumaW5,SumaW6,SumaW7,SumaW8,SumaW9,TotalDur,BI_W0,BI_W1,BI_W2,BI_W3,BI_W4,BI_W5,BI_W6,BI_W7,BI_W8,BI_W9,BI_Sistema,EstacionCuelloBotella,Producto1,Producto2,Producto3,TotalProductos
1,0,0.291892,0.408603,0.150153,0.16177,0.154691,0.060168,0.008291,0.103148,0.009013,0.033929,1.381658,0.211262121,0.295733821,0.108675953,0.117083967,0.111960413,0.04354768,0.006000761,0.074655233,0.006523322,0.024556728,0.295733821,W1,11,3,2,16
1,1,0.872118,1.815005,0.415434,0.41373,0.415142,0.953235,0.030407,0.334011,0.138473,0.830646,6.218201,0.140252462,0.291885869,0.066809355,0.066535321,0.066762396,0.153297553,0.00489,0.053715054,0.022268981,0.133583009,0.291885869,W1,29,3,4,36
1,2,0.732815,2.617131,0.533138,0.518808,0.541395,1.359436,0.039117,0.575503,0.131309,0.503851,7.552503,0.097029422,0.346524986,0.070590902,0.068693518,0.071684182,0.179998075,0.005179343,0.076200301,0.017386157,0.066713115,0.346524986,W1,26,7,8,41
1,3,0.810411,1.047639,0.39981,0.406622,0.411892,1.562118,0.033742,0.472808,0.129266,0.824697,6.099005,0.132875936,0.171772117,0.065553316,0.066670219,0.067534295,0.256126696,0.005532378,0.077522153,0.021194605,0.135218286,0.256126696,W5,29,10,2,41
1,4,0.615879,1.420519,0.482344,0.482023,0.48016,1.385548,0.042136,0.532873,0.099036,0.471778,6.012296,0.102436573,0.236268973,0.080226256,0.080172866,0.079863001,0.230452393,0.007008304,0.088630533,0.016472243,0.078468858,0.236268973,W1,22,7,7,36
1,5,0.700071,3.955201,0.598147,0.637431,0.603974,0.894572,0.046623,0.485338,0.146866,0.6648,8.733023,0.08016365,0.452901704,0.068492548,0.072990876,0.069159786,0.102435548,0.005338701,0.055575028,0.016817315,0.076124842,0.452901704,W1,30,8,6,44
1,6,1.048722,1.569543,0.432566,0.448784,0.43565,0.483775,0.031048,0.340702,0.135816,0.687476,5.614082,0.186802045,0.279572511,0.077050175,0.079938982,0.077599508,0.086171702,0.005530379,0.060687037,0.024192023,0.122455639,0.279572511,W1,27,10,1,38
1,7,1.172008,1.137813,0.400987,0.437075,0.404589,6.758563,0.032271,0.384756,0.122865,0.546468,11.397395,0.102831217,0.09983097,0.035182338,0.038348675,0.035498375,0.592991907,0.002831436,0.03375824,0.010780095,0.047946746,0.592991907,W5,23,5,6,34
1,8,1.065543,2.709755,0.598858,0.603509,0.596454,4.673747,0.054966,0.737623,0.135034,0.609894,11.785383,0.09041225,0.229925069,0.050813622,0.051208264,0.050609641,0.396571499,0.004663913,0.062587953,0.011457752,0.051750036,0.396571499,W5,32,11,5,48
1,9,1.070381,1.842554,0.400544,0.389421,0.398032,3.585016,0.032364,0.362512,0.146875,0.694054,8.921753,0.119974292,0.206523763,0.044895213,0.043648485,0.044613654,0.401828654,0.003627538,0.040632373,0.016462572,0.077793456,0.401828654,W5,25,9,,34
1,10,0.971279,2.043258,0.552553,0.522999,0.548499,2.226997,0.040267,0.661439,0.123558,0.613506,8.304355,0.116960197,0.246046562,0.066537738,0.062978883,0.066049561,0.268172182,0.004848902,0.079649654,0.014878699,0.073877622,0.268172182,W5,32,7,4,43
1,11,1.477079,1.70377,0.484225,0.482416,0.492745,1.568804,0.039354,0.400663,0.16263,0.788717,7.600403,0.194342195,0.224168376,0.063710437,0.063472424,0.064831431,0.206410634,0.005177883,0.05271602,0.02139755,0.10377305,0.224168376,W1,30,7,6,43
1,12,0.576181,1.477445,0.484486,0.482658,0.48288,2.186287,0.045291,0.644993,0.145406,0.771943,7.29757,0.078955186,0.202457119,0.066390045,0.066139551,0.066169972,0.299591097,0.006206313,0.088384627,0.019925263,0.105780828,0.299591097,W5,28,9,5,42
1,13,0.496024,1.64645,0.447914,0.423767,0.439431,0.5292,0.034076,0.343579,0.115053,0.482598,4.958092,0.100043323,0.332073306,0.090339994,0.085469773,0.088629053,0.106734607,0.006872805,0.069296617,0.023205096,0.097335427,0.332073306,W1,25,13,4,42
1,14,0.843108,1.03672,0.367921,0.370086,0.368069,0.552694,0.028953,0.283181,0.126486,0.52982,4.507038,0.187064764,0.230022467,0.081632549,0.082112909,0.081665386,0.122629097,0.006423953,0.062830844,0.028064108,0.117553923,0.230022467,W1,25,8,5,38
1,15,3.493619,1.962592,0.398721,0.392758,0.400838,0.544862,0.032801,0.338751,0.096451,0.607964,8.269357,0.422477709,0.237333084,0.048216687,0.047495591,0.048472693,0.065889283,0.003966572,0.040964612,0.011663664,0.073520106,0.422477709,W0,26,8,2,36
1,16,1.164233,3.710731,0.531445,0.568088,0.547763,1.757197,0.042047,0.528606,0.129636,0.667063,9.646809,0.120685814,0.384658906,0.055090238,0.058888696,0.056781781,0.182153187,0.004358643,0.054795943,0.013438226,0.069148565,0.384658906,W1,29,10,4,43
